[70161:70161:1128/083022.849215:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.105 (not a warning)
[70161:70183:1128/083023.228760:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229134:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229352:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70161:1128/083036.699017:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://id5-sync.com/gm/v3' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://coinmarketcap.com/ (0)
[70161:70161:1128/083042.622215:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/converter/ (1)
[70161:70161:1128/083042.623032:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/converter/ (1)
[70161:70161:1128/083042.746157:INFO:CONSOLE(1)] "react-i18next:: It seems you are still using the old wait option, you may migrate to the new useSuspense behaviour.", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
[70161:70161:1128/083042.746627:INFO:CONSOLE(1)] "react-i18next:: i18n.languages were undefined or empty undefined", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
[70161:70161:1128/083043.744544:INFO:CONSOLE(254)] "[Audigent] cannot find a required consent framework, halt execution", source: https://a.ad.gt/api/v1/u/matches/617?_it=amazon (254)
[70161:70161:1128/083044.491142:INFO:CONSOLE(0)] "Access to fetch at 'https://lb.eu-1-id5-sync.com/lb/v1' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. If an opaque response serves your needs, set the request's mode to 'no-cors' to fetch the resource with CORS disabled.", source: https://coinmarketcap.com/converter/ (0)
[70161:70161:1128/083044.840861:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://id5-sync.com/gm/v3' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://coinmarketcap.com/converter/ (0)
[70161:70161:1128/083045.587037:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/converter/ (1)
[70161:70161:1128/083045.587390:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/converter/ (1)
[70161:70161:1128/083045.696324:INFO:CONSOLE(1)] "react-i18next:: It seems you are still using the old wait option, you may migrate to the new useSuspense behaviour.", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
[70161:70161:1128/083046.506836:INFO:CONSOLE(254)] "[Audigent] cannot find a required consent framework, halt execution", source: https://a.ad.gt/api/v1/u/matches/617?_it=amazon (254)
[70161:70161:1128/083047.561736:INFO:CONSOLE(0)] "Access to fetch at 'https://lb.eu-1-id5-sync.com/lb/v1' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. If an opaque response serves your needs, set the request's mode to 'no-cors' to fetch the resource with CORS disabled.", source: https://coinmarketcap.com/converter/ (0)
[70161:70161:1128/083047.684313:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://id5-sync.com/gm/v3' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://coinmarketcap.com/converter/ (0)
[70161:70161:1128/083049.042570:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/currencies/bitcoin/ (1)
[70161:70161:1128/083049.043357:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/currencies/bitcoin/ (1)
[70161:70161:1128/083049.123159:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.123617:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.123977:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.124284:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.125316:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.125713:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
